date,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,weather_code,wind_speed_10m,is_day,sunshine_duration
2022-11-01 00:00:00,14.2,97,0.7,0.7,0.0,Drizzle,4.5,Night,0.0
2022-11-01 01:00:00,14.4,97,0.3,0.3,0.0,Light Drizzle,4.9,Night,0.0
2022-11-01 02:00:00,14.3,98,1.7,1.7,0.0,Light Rain,2.6,Night,0.0
2022-11-01 03:00:00,13.9,98,2.6,2.6,0.0,Rain,5.5,Night,0.0
2022-11-01 04:00:00,14.0,98,0.8,0.8,0.0,Drizzle,3.9,Night,0.0
2022-11-01 05:00:00,13.6,99,0.1,0.1,0.0,Light Drizzle,3.4,Night,0.0
2022-11-01 06:00:00,13.2,99,0.0,0.0,0.0,Cloudy,3.7,Night,0.0
2022-11-01 07:00:00,14.3,99,0.0,0.0,0.0,Cloudy,2.6,Day,0.0
2022-11-01 08:00:00,15.3,97,0.0,0.0,0.0,Partly Cloudy,4.6,Day,0.0
2022-11-01 09:00:00,15.9,94,0.0,0.0,0.0,Cloudy,6.7,Day,0.0
2022-11-01 10:00:00,16.7,91,0.1,0.1,0.0,Light Drizzle,6.5,Day,0.0
2022-11-01 11:00:00,17.7,84,0.0,0.0,0.0,Partly Cloudy,7.7,Day,3371.18
2022-11-01 12:00:00,18.8,78,0.1,0.1,0.0,Light Drizzle,9.1,Day,3600.0
2022-11-01 13:00:00,19.4,74,0.0,0.0,0.0,Cloudy,9.3,Day,875.22
2022-11-01 14:00:00,19.9,71,0.0,0.0,0.0,Partly Cloudy,9.1,Day,3600.0
2022-11-01 15:00:00,19.8,71,0.0,0.0,0.0,Partly Cloudy,8.4,Day,3600.0
2022-11-01 16:00:00,18.8,76,0.0,0.0,0.0,Partly Cloudy,4.2,Day,3600.0
2022-11-01 17:00:00,15.9,89,0.0,0.0,0.0,Clear,5.6,Night,497.18
2022-11-01 18:00:00,15.5,89,0.0,0.0,0.0,Clear,5.4,Night,0.0
2022-11-01 19:00:00,15.0,90,0.0,0.0,0.0,Clear,6.3,Night,0.0
2022-11-01 20:00:00,14.8,89,0.0,0.0,0.0,Clear,7.6,Night,0.0
2022-11-01 21:00:00,14.9,87,0.0,0.0,0.0,Clear,8.8,Night,0.0
2022-11-01 22:00:00,14.8,86,0.0,0.0,0.0,Clear,9.7,Night,0.0
2022-11-01 23:00:00,14.6,87,0.0,0.0,0.0,Clear,10.1,Night,0.0
2022-11-02 00:00:00,14.3,87,0.0,0.0,0.0,Clear,7.8,Night,0.0
2022-11-02 01:00:00,13.7,89,0.0,0.0,0.0,Clear,7.1,Night,0.0
2022-11-02 02:00:00,13.6,88,0.0,0.0,0.0,Clear,9.3,Night,0.0
2022-11-02 03:00:00,13.2,87,0.0,0.0,0.0,Clear,10.1,Night,0.0
2022-11-02 04:00:00,12.5,88,0.0,0.0,0.0,Clear,8.1,Night,0.0
2022-11-02 05:00:00,11.6,90,0.0,0.0,0.0,Clear,5.9,Night,0.0
2022-11-02 06:00:00,10.8,91,0.0,0.0,0.0,Clear,5.2,Night,0.0
2022-11-02 07:00:00,11.7,88,0.0,0.0,0.0,Clear,7.4,Day,7.15
2022-11-02 08:00:00,13.1,87,0.0,0.0,0.0,Clear,7.6,Day,3600.0
2022-11-02 09:00:00,15.0,79,0.0,0.0,0.0,Clear,7.1,Day,3600.0
2022-11-02 10:00:00,17.0,68,0.0,0.0,0.0,Clear,9.2,Day,3600.0
2022-11-02 11:00:00,18.5,59,0.0,0.0,0.0,Clear,9.9,Day,3600.0
2022-11-02 12:00:00,19.3,56,0.0,0.0,0.0,Clear,6.9,Day,3600.0
2022-11-02 13:00:00,19.9,54,0.0,0.0,0.0,Clear,4.6,Day,3600.0
2022-11-02 14:00:00,20.2,52,0.0,0.0,0.0,Clear,3.6,Day,3600.0
2022-11-02 15:00:00,20.2,51,0.0,0.0,0.0,Clear,3.7,Day,3600.0
2022-11-02 16:00:00,18.7,68,0.0,0.0,0.0,Clear,2.5,Day,3600.0
2022-11-02 17:00:00,14.8,75,0.0,0.0,0.0,Clear,6.5,Night,1350.67
2022-11-02 18:00:00,14.5,74,0.0,0.0,0.0,Clear,5.1,Night,0.0
2022-11-02 19:00:00,16.0,69,0.0,0.0,0.0,Clear,3.8,Night,0.0
2022-11-02 20:00:00,13.8,78,0.0,0.0,0.0,Clear,2.7,Night,0.0
2022-11-02 21:00:00,12.0,83,0.0,0.0,0.0,Clear,3.6,Night,0.0
2022-11-02 22:00:00,10.7,88,0.0,0.0,0.0,Clear,4.1,Night,0.0
2022-11-02 23:00:00,10.4,90,0.0,0.0,0.0,Clear,3.7,Night,0.0
2022-11-03 00:00:00,10.0,89,0.0,0.0,0.0,Clear,3.6,Night,0.0
2022-11-03 01:00:00,9.5,88,0.0,0.0,0.0,Clear,3.7,Night,0.0
2022-11-03 02:00:00,9.3,89,0.0,0.0,0.0,Clear,4.2,Night,0.0
2022-11-03 03:00:00,9.0,90,0.0,0.0,0.0,Clear,4.5,Night,0.0
2022-11-03 04:00:00,9.2,90,0.0,0.0,0.0,Clear,4.5,Night,0.0
2022-11-03 05:00:00,8.7,92,0.0,0.0,0.0,Clear,3.9,Night,0.0
2022-11-03 06:00:00,8.6,95,0.0,0.0,0.0,Clear,3.7,Night,0.0
2022-11-03 07:00:00,9.9,92,0.0,0.0,0.0,Clear,4.9,Day,0.0
2022-11-03 08:00:00,11.6,88,0.0,0.0,0.0,Clear,5.1,Day,3600.0
2022-11-03 09:00:00,13.4,83,0.0,0.0,0.0,Clear,3.3,Day,3600.0
2022-11-03 10:00:00,15.1,75,0.0,0.0,0.0,Clear,2.5,Day,3600.0
2022-11-03 11:00:00,16.5,67,0.0,0.0,0.0,Clear,2.2,Day,3600.0
2022-11-03 12:00:00,17.5,61,0.0,0.0,0.0,Clear,3.4,Day,3600.0
2022-11-03 13:00:00,18.0,56,0.0,0.0,0.0,Clear,4.6,Day,3600.0
2022-11-03 14:00:00,17.9,54,0.0,0.0,0.0,Clear,6.0,Day,3600.0
2022-11-03 15:00:00,17.3,54,0.0,0.0,0.0,Clear,7.3,Day,3600.0
2022-11-03 16:00:00,15.8,70,0.0,0.0,0.0,Clear,6.1,Day,3600.0
2022-11-03 17:00:00,12.6,89,0.0,0.0,0.0,Clear,4.2,Night,1299.07
2022-11-03 18:00:00,10.9,93,0.0,0.0,0.0,Clear,6.5,Night,0.0
2022-11-03 19:00:00,12.1,91,0.0,0.0,0.0,Clear,4.5,Night,0.0
2022-11-03 20:00:00,12.1,90,0.0,0.0,0.0,Clear,5.3,Night,0.0
2022-11-03 21:00:00,12.2,91,0.0,0.0,0.0,Clear,6.1,Night,0.0
2022-11-03 22:00:00,11.6,94,0.0,0.0,0.0,Clear,4.7,Night,0.0
2022-11-03 23:00:00,10.2,96,0.0,0.0,0.0,Clear,5.3,Night,0.0
2022-11-04 00:00:00,9.7,97,0.0,0.0,0.0,Clear,4.3,Night,0.0
2022-11-04 01:00:00,9.1,97,0.0,0.0,0.0,Clear,5.4,Night,0.0
2022-11-04 02:00:00,11.2,94,0.0,0.0,0.0,Clear,3.3,Night,0.0
2022-11-04 03:00:00,11.1,94,0.0,0.0,0.0,Clear,2.6,Night,0.0
2022-11-04 04:00:00,10.5,98,0.0,0.0,0.0,Clear,1.9,Night,0.0
2022-11-04 05:00:00,8.5,100,0.0,0.0,0.0,Cloudy,2.6,Night,0.0
2022-11-04 06:00:00,8.2,100,0.0,0.0,0.0,Cloudy,2.4,Night,0.0
2022-11-04 07:00:00,9.4,99,0.0,0.0,0.0,Cloudy,2.5,Day,0.0
2022-11-04 08:00:00,10.2,98,0.0,0.0,0.0,Cloudy,1.6,Day,3600.0
2022-11-04 09:00:00,12.4,95,0.0,0.0,0.0,Partly Cloudy,1.1,Day,3600.0
2022-11-04 10:00:00,15.1,87,0.0,0.0,0.0,Mainly Clear,1.0,Day,3600.0
2022-11-04 11:00:00,17.4,79,0.0,0.0,0.0,Mainly Clear,3.0,Day,3600.0
2022-11-04 12:00:00,18.8,76,0.0,0.0,0.0,Mainly Clear,5.0,Day,3600.0
2022-11-04 13:00:00,19.7,75,0.0,0.0,0.0,Mainly Clear,6.1,Day,3600.0
2022-11-04 14:00:00,19.8,75,0.0,0.0,0.0,Mainly Clear,7.6,Day,3600.0
2022-11-04 15:00:00,19.1,79,0.0,0.0,0.0,Partly Cloudy,7.6,Day,3600.0
2022-11-04 16:00:00,17.6,86,0.0,0.0,0.0,Mainly Clear,7.6,Day,3600.0
2022-11-04 17:00:00,16.0,93,0.0,0.0,0.0,Partly Cloudy,7.5,Night,280.42
2022-11-04 18:00:00,16.4,90,0.0,0.0,0.0,Partly Cloudy,8.0,Night,0.0
2022-11-04 19:00:00,16.1,89,0.0,0.0,0.0,Mainly Clear,7.2,Night,0.0
2022-11-04 20:00:00,16.3,86,0.0,0.0,0.0,Mainly Clear,8.3,Night,0.0
2022-11-04 21:00:00,16.2,87,0.0,0.0,0.0,Mainly Clear,7.7,Night,0.0
2022-11-04 22:00:00,15.6,90,0.0,0.0,0.0,Mainly Clear,7.0,Night,0.0
2022-11-04 23:00:00,15.7,91,0.0,0.0,0.0,Mainly Clear,7.8,Night,0.0
2022-11-05 00:00:00,15.9,91,0.0,0.0,0.0,Mainly Clear,7.5,Night,0.0
2022-11-05 01:00:00,15.8,91,0.0,0.0,0.0,Mainly Clear,6.7,Night,0.0
2022-11-05 02:00:00,15.4,93,0.0,0.0,0.0,Mainly Clear,5.4,Night,0.0
2022-11-05 03:00:00,15.3,93,0.0,0.0,0.0,Mainly Clear,5.1,Night,0.0
2022-11-05 04:00:00,15.1,94,0.0,0.0,0.0,Mainly Clear,5.1,Night,0.0
2022-11-05 05:00:00,15.3,94,0.0,0.0,0.0,Partly Cloudy,5.7,Night,0.0
2022-11-05 06:00:00,15.4,94,0.0,0.0,0.0,Mainly Clear,5.8,Night,0.0
2022-11-05 07:00:00,15.9,94,0.0,0.0,0.0,Clear,5.8,Day,0.0
2022-11-05 08:00:00,17.5,90,0.0,0.0,0.0,Mainly Clear,7.4,Day,3600.0
2022-11-05 09:00:00,19.4,84,0.0,0.0,0.0,Mainly Clear,6.5,Day,3600.0
2022-11-05 10:00:00,21.5,75,0.0,0.0,0.0,Clear,8.8,Day,3600.0
2022-11-05 11:00:00,23.0,69,0.0,0.0,0.0,Partly Cloudy,11.4,Day,3600.0
2022-11-05 12:00:00,23.1,69,0.0,0.0,0.0,Partly Cloudy,11.9,Day,3600.0
2022-11-05 13:00:00,22.7,74,0.0,0.0,0.0,Partly Cloudy,12.5,Day,3600.0
2022-11-05 14:00:00,21.9,76,0.0,0.0,0.0,Mainly Clear,13.6,Day,3600.0
2022-11-05 15:00:00,21.2,76,0.0,0.0,0.0,Cloudy,13.1,Day,3600.0
2022-11-05 16:00:00,20.4,74,0.0,0.0,0.0,Partly Cloudy,16.9,Day,3600.0
2022-11-05 17:00:00,19.4,76,0.0,0.0,0.0,Clear,14.8,Night,469.54
2022-11-05 18:00:00,18.3,84,0.0,0.0,0.0,Clear,13.4,Night,0.0
2022-11-05 19:00:00,17.8,88,0.0,0.0,0.0,Mainly Clear,12.1,Night,0.0
2022-11-05 20:00:00,18.5,84,0.0,0.0,0.0,Mainly Clear,12.8,Night,0.0
2022-11-05 21:00:00,18.6,84,0.0,0.0,0.0,Mainly Clear,13.5,Night,0.0
2022-11-05 22:00:00,18.7,82,0.0,0.0,0.0,Partly Cloudy,13.2,Night,0.0
2022-11-05 23:00:00,18.5,81,0.0,0.0,0.0,Mainly Clear,11.9,Night,0.0
2022-11-06 00:00:00,18.3,80,0.0,0.0,0.0,Mainly Clear,10.7,Night,0.0
2022-11-06 01:00:00,18.1,81,0.0,0.0,0.0,Mainly Clear,10.6,Night,0.0
2022-11-06 02:00:00,18.2,81,0.0,0.0,0.0,Partly Cloudy,11.0,Night,0.0
2022-11-06 03:00:00,18.4,79,0.0,0.0,0.0,Mainly Clear,11.7,Night,0.0
2022-11-06 04:00:00,18.4,80,0.0,0.0,0.0,Mainly Clear,12.5,Night,0.0
2022-11-06 05:00:00,18.2,82,0.0,0.0,0.0,Clear,12.2,Night,0.0
2022-11-06 06:00:00,17.9,85,0.0,0.0,0.0,Clear,10.9,Night,0.0
2022-11-06 07:00:00,18.5,86,0.0,0.0,0.0,Clear,11.1,Day,0.0
2022-11-06 08:00:00,20.0,82,0.0,0.0,0.0,Partly Cloudy,11.8,Day,3526.4
2022-11-06 09:00:00,21.5,77,0.0,0.0,0.0,Cloudy,12.4,Day,3600.0
2022-11-06 10:00:00,22.6,73,0.0,0.0,0.0,Partly Cloudy,10.7,Day,3600.0
2022-11-06 11:00:00,23.6,69,0.0,0.0,0.0,Cloudy,12.5,Day,3600.0
2022-11-06 12:00:00,23.8,68,0.0,0.0,0.0,Partly Cloudy,13.8,Day,2004.07
2022-11-06 13:00:00,23.6,70,0.3,0.3,0.0,Light Drizzle,12.0,Day,3320.08
2022-11-06 14:00:00,23.1,72,0.0,0.0,0.0,Cloudy,8.2,Day,0.0
2022-11-06 15:00:00,22.0,80,2.5,2.5,0.0,Rain,6.2,Day,0.0
2022-11-06 16:00:00,21.5,81,0.0,0.0,0.0,Partly Cloudy,6.6,Day,0.0
2022-11-06 17:00:00,20.1,83,0.0,0.0,0.0,Mainly Clear,7.4,Night,0.0
2022-11-06 18:00:00,19.5,85,0.0,0.0,0.0,Clear,10.4,Night,0.0
2022-11-06 19:00:00,19.5,87,0.0,0.0,0.0,Clear,9.9,Night,0.0
2022-11-06 20:00:00,19.6,86,0.0,0.0,0.0,Mainly Clear,11.4,Night,0.0
2022-11-06 21:00:00,19.5,85,0.0,0.0,0.0,Clear,11.2,Night,0.0
2022-11-06 22:00:00,19.4,84,0.0,0.0,0.0,Mainly Clear,10.3,Night,0.0
2022-11-06 23:00:00,19.6,83,0.0,0.0,0.0,Mainly Clear,12.1,Night,0.0
2022-11-07 00:00:00,19.3,85,0.2,0.2,0.0,Light Drizzle,11.5,Night,0.0
2022-11-07 01:00:00,19.2,88,0.4,0.4,0.0,Light Drizzle,10.4,Night,0.0
2022-11-07 02:00:00,18.8,90,0.2,0.2,0.0,Light Drizzle,9.1,Night,0.0
2022-11-07 03:00:00,18.7,91,0.0,0.0,0.0,Mainly Clear,9.7,Night,0.0
2022-11-07 04:00:00,18.6,92,0.0,0.0,0.0,Clear,10.8,Night,0.0
2022-11-07 05:00:00,18.5,93,0.0,0.0,0.0,Mainly Clear,11.0,Night,0.0
2022-11-07 06:00:00,18.5,93,0.0,0.0,0.0,Cloudy,11.0,Night,0.0
2022-11-07 07:00:00,18.8,94,0.0,0.0,0.0,Mainly Clear,8.8,Day,0.0
2022-11-07 08:00:00,19.8,91,0.0,0.0,0.0,Mainly Clear,9.7,Day,3449.56
2022-11-07 09:00:00,21.2,87,0.0,0.0,0.0,Clear,9.0,Day,3600.0
2022-11-07 10:00:00,22.6,80,0.0,0.0,0.0,Clear,9.2,Day,3600.0
2022-11-07 11:00:00,23.9,54,0.0,0.0,0.0,Clear,12.0,Day,3600.0
2022-11-07 12:00:00,24.0,46,0.0,0.0,0.0,Clear,11.8,Day,3600.0
2022-11-07 13:00:00,24.0,46,0.0,0.0,0.0,Clear,11.1,Day,3600.0
2022-11-07 14:00:00,23.7,38,0.0,0.0,0.0,Clear,12.0,Day,3600.0
2022-11-07 15:00:00,22.8,38,0.0,0.0,0.0,Clear,10.3,Day,3600.0
2022-11-07 16:00:00,21.1,36,0.0,0.0,0.0,Clear,8.6,Day,3600.0
2022-11-07 17:00:00,19.2,33,0.0,0.0,0.0,Clear,9.1,Night,705.5
2022-11-07 18:00:00,18.1,35,0.0,0.0,0.0,Clear,10.3,Night,0.0
2022-11-07 19:00:00,17.5,33,0.0,0.0,0.0,Clear,10.0,Night,0.0
2022-11-07 20:00:00,17.0,34,0.0,0.0,0.0,Clear,12.0,Night,0.0
2022-11-07 21:00:00,16.0,35,0.0,0.0,0.0,Clear,16.0,Night,0.0
2022-11-07 22:00:00,14.7,37,0.0,0.0,0.0,Clear,12.7,Night,0.0
2022-11-07 23:00:00,13.4,41,0.0,0.0,0.0,Clear,14.6,Night,0.0
2022-11-08 00:00:00,11.9,42,0.0,0.0,0.0,Clear,13.6,Night,0.0
2022-11-08 01:00:00,10.8,47,0.0,0.0,0.0,Clear,13.3,Night,0.0
2022-11-08 02:00:00,9.9,53,0.0,0.0,0.0,Clear,11.9,Night,0.0
2022-11-08 03:00:00,9.3,58,0.0,0.0,0.0,Clear,10.9,Night,0.0
2022-11-08 04:00:00,8.8,61,0.0,0.0,0.0,Clear,10.9,Night,0.0
2022-11-08 05:00:00,8.3,64,0.0,0.0,0.0,Clear,10.1,Night,0.0
2022-11-08 06:00:00,8.0,65,0.0,0.0,0.0,Clear,10.1,Night,0.0
2022-11-08 07:00:00,8.2,64,0.0,0.0,0.0,Clear,8.9,Day,0.0
2022-11-08 08:00:00,8.9,60,0.0,0.0,0.0,Clear,8.7,Day,3372.61
2022-11-08 09:00:00,10.3,49,0.0,0.0,0.0,Clear,11.3,Day,3600.0
2022-11-08 10:00:00,11.3,43,0.0,0.0,0.0,Clear,11.8,Day,3600.0
2022-11-08 11:00:00,12.2,41,0.0,0.0,0.0,Clear,10.8,Day,3600.0
2022-11-08 12:00:00,12.9,39,0.0,0.0,0.0,Clear,10.6,Day,3600.0
2022-11-08 13:00:00,13.4,37,0.0,0.0,0.0,Clear,10.5,Day,3600.0
2022-11-08 14:00:00,13.6,38,0.0,0.0,0.0,Clear,10.3,Day,3600.0
2022-11-08 15:00:00,13.5,38,0.0,0.0,0.0,Clear,10.6,Day,3600.0
2022-11-08 16:00:00,12.5,41,0.0,0.0,0.0,Clear,9.8,Day,3600.0
2022-11-08 17:00:00,10.9,45,0.0,0.0,0.0,Clear,9.9,Night,678.18
2022-11-08 18:00:00,10.1,49,0.0,0.0,0.0,Clear,11.0,Night,0.0
2022-11-08 19:00:00,10.7,42,0.0,0.0,0.0,Clear,12.2,Night,0.0
2022-11-08 20:00:00,10.0,41,0.0,0.0,0.0,Clear,11.6,Night,0.0
2022-11-08 21:00:00,9.2,44,0.0,0.0,0.0,Clear,10.9,Night,0.0
2022-11-08 22:00:00,8.6,48,0.0,0.0,0.0,Clear,10.2,Night,0.0
2022-11-08 23:00:00,8.1,50,0.0,0.0,0.0,Clear,11.0,Night,0.0
2022-11-09 00:00:00,7.4,53,0.0,0.0,0.0,Clear,11.8,Night,0.0
2022-11-09 01:00:00,6.7,58,0.0,0.0,0.0,Clear,12.1,Night,0.0
2022-11-09 02:00:00,6.1,58,0.0,0.0,0.0,Clear,12.0,Night,0.0
2022-11-09 03:00:00,5.5,59,0.0,0.0,0.0,Clear,10.8,Night,0.0
2022-11-09 04:00:00,5.0,61,0.0,0.0,0.0,Mainly Clear,9.6,Night,0.0
2022-11-09 05:00:00,4.7,62,0.0,0.0,0.0,Mainly Clear,8.3,Night,0.0
2022-11-09 06:00:00,4.5,63,0.0,0.0,0.0,Clear,7.6,Night,0.0
2022-11-09 07:00:00,5.0,62,0.0,0.0,0.0,Clear,8.0,Day,0.0
